name,iso_a3,currency_code,local_price,dollar_ex,dollar_price
Italy,ITA,ITL,4500,1818.0,2.48
Japan,JPN,JPY,280,135.0,2.07
Malaysia,MYS,MYR,4.3,3.7,1.16
Mexico,MEX,MXN,17.9,8.5,2.10
Netherlands,NLD,NLG,5.45,2.1,2.63
New Zealand,NZL,NZD,3.45,1.8,1.90
Poland,POL,PLN,5.3,3.5,1.53
Russia,RUS,RUR,12000,5999.0,2.00
Singapore,SGP,SGD,3,1.6,1.85
South Africa,ZAF,ZAR,8,5.0,1.59
South Korea,KOR,KRW,2600,1474.0,1.76
Spain,ESP,ESP,375,156.0,2.40
Sweden,SWE,SEK,24,8.0,3.00
Switzerland,CHE,CHF,5.9,1.5,3.88
Taiwan,TWN,TWD,68,33.0,2.06
Thailand,THA,THB,52,40.0,1.30
United States,USA,USD,2.43,1.0,2.43
Argentina,ARG,ARS,2.5,1.0,2.50
Australia,AUS,AUD,2.65,1.6,1.67
Brazil,BRA,BRL,2.95,1.7,1.71
Britain,GBR,GBP,1.9,0.6,3.06
Canada,CAN,CAD,2.99,1.5,1.98
Chile,CHL,CLP,1259,484.0,2.60
China,CHN,CNY,9.9,8.3,1.20
Denmark,DNK,DKK,24.75,6.9,3.58
Euro area,EUZ,EUR,2.52,0.9,2.72
France,FRA,FRF,18.5,6.1,3.03
Germany,DEU,DEM,4.95,1.8,2.72
Italy,ITA,ITL,4500,1799.0,2.50
Netherlands,NLD,NLG,5.45,2.1,2.66
Spain,ESP,ESP,375,155.0,2.42
Hong Kong,HKG,HKD,10.2,7.8,1.32
Hungary,HUN,HUF,299,237.0,1.26
Indonesia,IDN,IDR,14500,8725.0,1.66
Israel,ISR,ILS,13.9,4.0,3.44
Japan,JPN,JPY,294,120.0,2.45
Malaysia,MYS,MYR,4.52,3.8,1.19
Mexico,MEX,MXN,19.9,9.5,2.09
New Zealand,NZL,NZD,3.4,1.9,1.82
Poland,POL,PLN,5.5,4.0,1.38
Russia,RUS,RUB,33.5,24.7,1.36
Singapore,SGP,SGD,3.2,1.7,1.85
South Africa,ZAF,ZAR,8.6,6.2,1.38
South Korea,KOR,KRW,3000,1218.0,2.46
Sweden,SWE,SEK,24,8.3,2.88
Switzerland,CHE,CHF,5.9,1.5,3.99
Taiwan,TWN,TWD,70,33.2,2.11
Thailand,THA,THB,52,37.6,1.38
